table,line,description,time_period,value,units,retrieved
T10102,1,Gross domestic product,2010Q1,1.9,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2010Q2,3.9,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2010Q3,3.1,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2010Q4,2.1,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2011Q1,-0.9,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2011Q2,2.7,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2011Q3,-0.1,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2011Q4,4.6,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2012Q1,3.4,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2012Q2,1.8,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2012Q3,0.6,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2012Q4,0.5,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2013Q1,4.0,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2013Q2,1.1,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2013Q3,3.5,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2013Q4,3.5,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2014Q1,-1.4,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2014Q2,5.3,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2014Q3,5.0,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2014Q4,2.0,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2015Q1,3.6,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2015Q2,2.5,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2015Q3,1.6,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2015Q4,0.7,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2016Q1,2.3,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2016Q2,1.3,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2016Q3,2.9,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2016Q4,2.2,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2017Q1,2.0,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2017Q2,2.3,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2017Q3,3.2,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2017Q4,4.6,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2018Q1,3.3,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2018Q2,2.1,"Percent change, annual rate",2026-06-01
T10102,1,Gross domestic product,2018Q3,2.5,"Percent change, annual rate",2026-06-01
