table,line,description,time_period,value,units,retrieved
T50306,1,Private fixed investment,2010Q1,2192686.0,Level,2026-06-01
T50306,1,Private fixed investment,2010Q2,2272707.0,Level,2026-06-01
T50306,1,Private fixed investment,2010Q3,2285204.0,Level,2026-06-01
T50306,1,Private fixed investment,2010Q4,2328831.0,Level,2026-06-01
T50306,1,Private fixed investment,2011Q1,2325257.0,Level,2026-06-01
T50306,1,Private fixed investment,2011Q2,2380022.0,Level,2026-06-01
T50306,1,Private fixed investment,2011Q3,2480401.0,Level,2026-06-01
T50306,1,Private fixed investment,2011Q4,2544234.0,Level,2026-06-01
T50306,1,Private fixed investment,2012Q1,2624008.0,Level,2026-06-01
T50306,1,Private fixed investment,2012Q2,2677220.0,Level,2026-06-01
T50306,1,Private fixed investment,2012Q3,2681288.0,Level,2026-06-01
T50306,1,Private fixed investment,2012Q4,2729394.0,Level,2026-06-01
T50306,1,Private fixed investment,2013Q1,2782635.0,Level,2026-06-01
T50306,1,Private fixed investment,2013Q2,2811721.0,Level,2026-06-01
T50306,1,Private fixed investment,2013Q3,2863364.0,Level,2026-06-01
T50306,1,Private fixed investment,2013Q4,2910211.0,Level,2026-06-01
T50306,1,Private fixed investment,2014Q1,2946011.0,Level,2026-06-01
T50306,1,Private fixed investment,2014Q2,3032651.0,Level,2026-06-01
T50306,1,Private fixed investment,2014Q3,3094489.0,Level,2026-06-01
T50306,1,Private fixed investment,2014Q4,3137275.0,Level,2026-06-01
T50306,1,Private fixed investment,2015Q1,3150326.0,Level,2026-06-01
T50306,1,Private fixed investment,2015Q2,3184460.0,Level,2026-06-01
T50306,1,Private fixed investment,2015Q3,3220257.0,Level,2026-06-01
T50306,1,Private fixed investment,2015Q4,3219485.0,Level,2026-06-01
T50306,1,Private fixed investment,2016Q1,3243156.0,Level,2026-06-01
T50306,1,Private fixed investment,2016Q2,3267121.0,Level,2026-06-01
T50306,1,Private fixed investment,2016Q3,3303627.0,Level,2026-06-01
T50306,1,Private fixed investment,2016Q4,3333741.0,Level,2026-06-01
T50306,1,Private fixed investment,2017Q1,3376900.0,Level,2026-06-01
T50306,1,Private fixed investment,2017Q2,3410548.0,Level,2026-06-01
T50306,1,Private fixed investment,2017Q3,3436561.0,Level,2026-06-01
T50306,1,Private fixed investment,2017Q4,3515953.0,Level,2026-06-01
T50306,1,Private fixed investment,2018Q1,3576791.0,Level,2026-06-01
T50306,1,Private fixed investment,2018Q2,3613793.0,Level,2026-06-01
T50306,1,Private fixed investment,2018Q3,3623466.0,Level,2026-06-01
T50306,1,Private fixed investment,2018Q4,3632827.0,Level,2026-06-01
T50306,1,Private fixed investment,2019Q1,3643127.0,Level,2026-06-01
T50306,1,Private fixed investment,2019Q2,3710747.0,Level,2026-06-01
T50306,1,Private fixed investment,2019Q3,3750143.0,Level,2026-06-01
T50306,1,Private fixed investment,2019Q4,3739506.0,Level,2026-06-01
T50306,1,Private fixed investment,2020Q1,3711130.0,Level,2026-06-01
T50306,1,Private fixed investment,2020Q2,3419782.0,Level,2026-06-01
T50306,1,Private fixed investment,2020Q3,3642212.0,Level,2026-06-01
T50306,1,Private fixed investment,2020Q4,3784330.0,Level,2026-06-01
T50306,1,Private fixed investment,2021Q1,3861326.0,Level,2026-06-01
T50306,1,Private fixed investment,2021Q2,3918900.0,Level,2026-06-01
T50306,1,Private fixed investment,2021Q3,3906524.0,Level,2026-06-01
T50306,1,Private fixed investment,2021Q4,3935983.0,Level,2026-06-01
T50306,1,Private fixed investment,2022Q1,4000524.0,Level,2026-06-01
T50306,1,Private fixed investment,2022Q2,4019818.0,Level,2026-06-01
T50306,1,Private fixed investment,2022Q3,3997231.0,Level,2026-06-01
T50306,1,Private fixed investment,2022Q4,3992070.0,Level,2026-06-01
T50306,1,Private fixed investment,2023Q1,4039657.0,Level,2026-06-01
T50306,1,Private fixed investment,2023Q2,4132262.0,Level,2026-06-01
T50306,1,Private fixed investment,2023Q3,4171247.0,Level,2026-06-01
T50306,1,Private fixed investment,2023Q4,4218495.0,Level,2026-06-01
T50306,1,Private fixed investment,2024Q1,4249704.0,Level,2026-06-01
T50306,1,Private fixed investment,2024Q2,4264905.0,Level,2026-06-01
T50306,1,Private fixed investment,2024Q3,4281263.0,Level,2026-06-01
T50306,1,Private fixed investment,2024Q4,4260295.0,Level,2026-06-01
T50306,1,Private fixed investment,2025Q1,4333588.0,Level,2026-06-01
T50306,1,Private fixed investment,2025Q2,4380471.0,Level,2026-06-01
T50306,1,Private fixed investment,2025Q3,4389314.0,Level,2026-06-01
T50306,1,Private fixed investment,2025Q4,4405661.0,Level,2026-06-01
T50306,1,Private fixed investment,2026Q1,4474966.0,Level,2026-06-01
T50306,2,Nonresidential,2010Q1,1718732.0,Level,2026-06-01
T50306,2,Nonresidential,2010Q2,1775333.0,Level,2026-06-01
T50306,2,Nonresidential,2010Q3,1823655.0,Level,2026-06-01
T50306,2,Nonresidential,2010Q4,1859421.0,Level,2026-06-01
T50306,2,Nonresidential,2011Q1,1857309.0,Level,2026-06-01
T50306,2,Nonresidential,2011Q2,1905711.0,Level,2026-06-01
T50306,2,Nonresidential,2011Q3,1995353.0,Level,2026-06-01
T50306,2,Nonresidential,2011Q4,2046640.0,Level,2026-06-01
T50306,2,Nonresidential,2012Q1,2099256.0,Level,2026-06-01
T50306,2,Nonresidential,2012Q2,2146704.0,Level,2026-06-01
T50306,2,Nonresidential,2012Q3,2139633.0,Level,2026-06-01
T50306,2,Nonresidential,2012Q4,2162912.0,Level,2026-06-01
T50306,2,Nonresidential,2013Q1,2196264.0,Level,2026-06-01
T50306,2,Nonresidential,2013Q2,2207605.0,Level,2026-06-01
T50306,2,Nonresidential,2013Q3,2248212.0,Level,2026-06-01
T50306,2,Nonresidential,2013Q4,2302178.0,Level,2026-06-01
T50306,2,Nonresidential,2014Q1,2339393.0,Level,2026-06-01
T50306,2,Nonresidential,2014Q2,2406416.0,Level,2026-06-01
T50306,2,Nonresidential,2014Q3,2458452.0,Level,2026-06-01
T50306,2,Nonresidential,2014Q4,2479937.0,Level,2026-06-01
T50306,2,Nonresidential,2015Q1,2481110.0,Level,2026-06-01
T50306,2,Nonresidential,2015Q2,2498351.0,Level,2026-06-01
T50306,2,Nonresidential,2015Q3,2513595.0,Level,2026-06-01
T50306,2,Nonresidential,2015Q4,2502473.0,Level,2026-06-01
T50306,2,Nonresidential,2016Q1,2504570.0,Level,2026-06-01
T50306,2,Nonresidential,2016Q2,2525941.0,Level,2026-06-01
T50306,2,Nonresidential,2016Q3,2564000.0,Level,2026-06-01
T50306,2,Nonresidential,2016Q4,2584602.0,Level,2026-06-01
T50306,2,Nonresidential,2017Q1,2610431.0,Level,2026-06-01
T50306,2,Nonresidential,2017Q2,2639796.0,Level,2026-06-01
T50306,2,Nonresidential,2017Q3,2665246.0,Level,2026-06-01
T50306,2,Nonresidential,2017Q4,2728927.0,Level,2026-06-01
T50306,2,Nonresidential,2018Q1,2805277.0,Level,2026-06-01
T50306,2,Nonresidential,2018Q2,2837057.0,Level,2026-06-01
T50306,2,Nonresidential,2018Q3,2854550.0,Level,2026-06-01
T50306,2,Nonresidential,2018Q4,2880391.0,Level,2026-06-01
T50306,2,Nonresidential,2019Q1,2899840.0,Level,2026-06-01
T50306,2,Nonresidential,2019Q2,2954978.0,Level,2026-06-01
T50306,2,Nonresidential,2019Q3,2983489.0,Level,2026-06-01
T50306,2,Nonresidential,2019Q4,2970305.0,Level,2026-06-01
T50306,2,Nonresidential,2020Q1,2918067.0,Level,2026-06-01
T50306,2,Nonresidential,2020Q2,2681079.0,Level,2026-06-01
T50306,2,Nonresidential,2020Q3,2796634.0,Level,2026-06-01
T50306,2,Nonresidential,2020Q4,2875442.0,Level,2026-06-01
T50306,2,Nonresidential,2021Q1,2939916.0,Level,2026-06-01
T50306,2,Nonresidential,2021Q2,3010859.0,Level,2026-06-01
T50306,2,Nonresidential,2021Q3,2999341.0,Level,2026-06-01
T50306,2,Nonresidential,2021Q4,3022081.0,Level,2026-06-01
T50306,2,Nonresidential,2022Q1,3110067.0,Level,2026-06-01
T50306,2,Nonresidential,2022Q2,3163406.0,Level,2026-06-01
T50306,2,Nonresidential,2022Q3,3210162.0,Level,2026-06-01
T50306,2,Nonresidential,2022Q4,3265979.0,Level,2026-06-01
T50306,2,Nonresidential,2023Q1,3333291.0,Level,2026-06-01
T50306,2,Nonresidential,2023Q2,3421757.0,Level,2026-06-01
T50306,2,Nonresidential,2023Q3,3436424.0,Level,2026-06-01
T50306,2,Nonresidential,2023Q4,3482993.0,Level,2026-06-01
T50306,2,Nonresidential,2024Q1,3496025.0,Level,2026-06-01
T50306,2,Nonresidential,2024Q2,3517460.0,Level,2026-06-01
T50306,2,Nonresidential,2024Q3,3547627.0,Level,2026-06-01
T50306,2,Nonresidential,2024Q4,3514424.0,Level,2026-06-01
T50306,2,Nonresidential,2025Q1,3595389.0,Level,2026-06-01
T50306,2,Nonresidential,2025Q2,3659320.0,Level,2026-06-01
T50306,2,Nonresidential,2025Q3,3687843.0,Level,2026-06-01
T50306,2,Nonresidential,2025Q4,3709689.0,Level,2026-06-01
