table,line,description,time_period,value,units,retrieved
T10106,1,Gross domestic product,2010Q1,16582710.0,Level,2026-06-01
T10106,1,Gross domestic product,2010Q2,16743162.0,Level,2026-06-01
T10106,1,Gross domestic product,2010Q3,16872266.0,Level,2026-06-01
T10106,1,Gross domestic product,2010Q4,16960864.0,Level,2026-06-01
T10106,1,Gross domestic product,2011Q1,16920632.0,Level,2026-06-01
T10106,1,Gross domestic product,2011Q2,17035114.0,Level,2026-06-01
T10106,1,Gross domestic product,2011Q3,17031313.0,Level,2026-06-01
T10106,1,Gross domestic product,2011Q4,17222583.0,Level,2026-06-01
T10106,1,Gross domestic product,2012Q1,17367010.0,Level,2026-06-01
T10106,1,Gross domestic product,2012Q2,17444525.0,Level,2026-06-01
T10106,1,Gross domestic product,2012Q3,17469650.0,Level,2026-06-01
T10106,1,Gross domestic product,2012Q4,17489852.0,Level,2026-06-01
T10106,1,Gross domestic product,2013Q1,17662400.0,Level,2026-06-01
T10106,1,Gross domestic product,2013Q2,17709671.0,Level,2026-06-01
T10106,1,Gross domestic product,2013Q3,17860450.0,Level,2026-06-01
T10106,1,Gross domestic product,2013Q4,18016147.0,Level,2026-06-01
T10106,1,Gross domestic product,2014Q1,17953974.0,Level,2026-06-01
T10106,1,Gross domestic product,2014Q2,18185911.0,Level,2026-06-01
T10106,1,Gross domestic product,2014Q3,18406941.0,Level,2026-06-01
T10106,1,Gross domestic product,2014Q4,18500031.0,Level,2026-06-01
T10106,1,Gross domestic product,2015Q1,18666621.0,Level,2026-06-01
T10106,1,Gross domestic product,2015Q2,18782243.0,Level,2026-06-01
T10106,1,Gross domestic product,2015Q3,18857418.0,Level,2026-06-01
T10106,1,Gross domestic product,2015Q4,18892206.0,Level,2026-06-01
T10106,1,Gross domestic product,2016Q1,19001690.0,Level,2026-06-01
T10106,1,Gross domestic product,2016Q2,19062709.0,Level,2026-06-01
T10106,1,Gross domestic product,2016Q3,19197938.0,Level,2026-06-01
T10106,1,Gross domestic product,2016Q4,19304352.0,Level,2026-06-01
T10106,1,Gross domestic product,2017Q1,19398343.0,Level,2026-06-01
T10106,1,Gross domestic product,2017Q2,19506949.0,Level,2026-06-01
T10106,1,Gross domestic product,2017Q3,19660766.0,Level,2026-06-01
T10106,1,Gross domestic product,2017Q4,19882352.0,Level,2026-06-01
T10106,1,Gross domestic product,2018Q1,20044077.0,Level,2026-06-01
T10106,1,Gross domestic product,2018Q2,20150476.0,Level,2026-06-01
T10106,1,Gross domestic product,2018Q3,20276154.0,Level,2026-06-01
T10106,1,Gross domestic product,2018Q4,20304874.0,Level,2026-06-01
T10106,1,Gross domestic product,2019Q1,20431641.0,Level,2026-06-01
T10106,1,Gross domestic product,2019Q2,20602275.0,Level,2026-06-01
T10106,1,Gross domestic product,2019Q3,20843322.0,Level,2026-06-01
T10106,1,Gross domestic product,2019Q4,20985448.0,Level,2026-06-01
T10106,1,Gross domestic product,2020Q1,20709212.0,Level,2026-06-01
T10106,1,Gross domestic product,2020Q2,19077992.0,Level,2026-06-01
T10106,1,Gross domestic product,2020Q3,20558879.0,Level,2026-06-01
T10106,1,Gross domestic product,2020Q4,20791917.0,Level,2026-06-01
T10106,1,Gross domestic product,2021Q1,21082134.0,Level,2026-06-01
T10106,1,Gross domestic product,2021Q2,21440929.0,Level,2026-06-01
T10106,1,Gross domestic product,2021Q3,21617828.0,Level,2026-06-01
T10106,1,Gross domestic product,2021Q4,21988737.0,Level,2026-06-01
T10106,1,Gross domestic product,2022Q1,21932710.0,Level,2026-06-01
T10106,1,Gross domestic product,2022Q2,21967045.0,Level,2026-06-01
T10106,1,Gross domestic product,2022Q3,22125625.0,Level,2026-06-01
T10106,1,Gross domestic product,2022Q4,22278345.0,Level,2026-06-01
T10106,1,Gross domestic product,2023Q1,22439607.0,Level,2026-06-01
T10106,1,Gross domestic product,2023Q2,22580499.0,Level,2026-06-01
T10106,1,Gross domestic product,2023Q3,22840989.0,Level,2026-06-01
