year,spending_usd,n_months,partial_year,source,retrieved
2014,2152160275,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2015,3208158706,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2016,4743334978,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2017,5251707394,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2018,7484921167,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2019,8762477022,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2020,9320604980,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2021,9461815522,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2022,9890878372,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2023,14342171449,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2024,22160093452,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2025,28592989760,12,False,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
2026,2427607603,1,True,US Census Bureau (C30 Value of Construction Put in Place) via Our World in Data,2026-05-15
