ticker,company,fiscal_year,period_start,period_end,capex_usd,finance_lease_additions_usd,total_capacity_investment_usd,capex_concept,form,accession,filed,retrieved
AMZN,Amazon,2016,2016-01-01,2016-12-31,7804000000,,7804000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-19-000004,2019-02-01,2026-05-15
AMZN,Amazon,2017,2017-01-01,2017-12-31,11955000000,,11955000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-20-000004,2020-01-31,2026-05-15
AMZN,Amazon,2018,2018-01-01,2018-12-31,13427000000,10615000000.0,24042000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-21-000004,2021-02-03,2026-05-15
AMZN,Amazon,2019,2019-01-01,2019-12-31,16861000000,13723000000.0,30584000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-22-000005,2022-02-04,2026-05-15
AMZN,Amazon,2020,2020-01-01,2020-12-31,40140000000,11588000000.0,51728000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-23-000004,2023-02-03,2026-05-15
AMZN,Amazon,2021,2021-01-01,2021-12-31,61053000000,7061000000.0,68114000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-24-000008,2024-02-02,2026-05-15
AMZN,Amazon,2022,2022-01-01,2022-12-31,63645000000,675000000.0,64320000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-25-000004,2025-02-07,2026-05-15
AMZN,Amazon,2023,2023-01-01,2023-12-31,52729000000,642000000.0,53371000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-26-000004,2026-02-06,2026-05-15
AMZN,Amazon,2024,2024-01-01,2024-12-31,82999000000,854000000.0,83853000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-26-000004,2026-02-06,2026-05-15
AMZN,Amazon,2025,2025-01-01,2025-12-31,131819000000,2911000000.0,134730000000,PaymentsToAcquireProductiveAssets,10-K,0001018724-26-000004,2026-02-06,2026-05-15
CRWV,CoreWeave,2023,2023-01-01,2023-12-31,2943000000,0.0,2943000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,0001769628-26-000104,2026-03-02,2026-05-15
CRWV,CoreWeave,2024,2024-01-01,2024-12-31,8702000000,142000000.0,8844000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,0001769628-26-000104,2026-03-02,2026-05-15
CRWV,CoreWeave,2025,2025-01-01,2025-12-31,10309000000,343000000.0,10652000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,0001769628-26-000104,2026-03-02,2026-05-15
