ticker,company,fiscal_year,period_end,long_term_debt_usd,debt_issuance_usd,interest_expense_usd,operating_cash_flow_usd,retrieved
AMZN,Amazon,2007,2007-12-31,,,77000000.0,1405000000.0,2026-05-29
AMZN,Amazon,2008,2008-12-31,409000000.0,,71000000.0,1697000000.0,2026-05-29
AMZN,Amazon,2009,2009-12-31,109000000.0,,34000000.0,3293000000.0,2026-05-29
AMZN,Amazon,2010,2010-12-31,184000000.0,,39000000.0,3495000000.0,2026-05-29
AMZN,Amazon,2011,2011-12-31,255000000.0,,65000000.0,3903000000.0,2026-05-29
AMZN,Amazon,2012,2012-12-31,3084000000.0,,92000000.0,4180000000.0,2026-05-29
AMZN,Amazon,2013,2013-12-31,3191000000.0,,141000000.0,5475000000.0,2026-05-29
AMZN,Amazon,2014,2014-12-31,8265000000.0,6359000000.0,210000000.0,6842000000.0,2026-05-29
AMZN,Amazon,2015,2015-12-31,8227000000.0,353000000.0,459000000.0,12039000000.0,2026-05-29
AMZN,Amazon,2016,2016-12-31,7694000000.0,618000000.0,484000000.0,17203000000.0,2026-05-29
AMZN,Amazon,2017,2017-12-31,24743000000.0,16228000000.0,848000000.0,18365000000.0,2026-05-29
AMZN,Amazon,2018,2018-12-31,23495000000.0,182000000.0,1417000000.0,30723000000.0,2026-05-29
AMZN,Amazon,2019,2019-12-31,23414000000.0,871000000.0,1600000000.0,38514000000.0,2026-05-29
AMZN,Amazon,2020,2020-12-31,31816000000.0,10525000000.0,1647000000.0,66064000000.0,2026-05-29
AMZN,Amazon,2021,2021-12-31,48744000000.0,19003000000.0,1809000000.0,46327000000.0,2026-05-29
AMZN,Amazon,2022,2022-12-31,67150000000.0,21166000000.0,2367000000.0,46752000000.0,2026-05-29
AMZN,Amazon,2023,2023-12-31,58314000000.0,0.0,3182000000.0,84946000000.0,2026-05-29
AMZN,Amazon,2024,2024-12-31,52623000000.0,0.0,,115877000000.0,2026-05-29
AMZN,Amazon,2025,2025-12-31,65648000000.0,15673000000.0,,139514000000.0,2026-05-29
CRWV,CoreWeave,2023,2023-12-31,,1404000000.0,27000000.0,1833000000.0,2026-05-29
CRWV,CoreWeave,2024,2024-12-31,5458000000.0,7018000000.0,349000000.0,2749000000.0,2026-05-29
CRWV,CoreWeave,2025,2025-12-31,14665000000.0,11829000000.0,1148000000.0,3058000000.0,2026-05-29
GOOGL,Alphabet,2013,2013-12-31,,,81000000.0,18659000000.0,2026-05-29
GOOGL,Alphabet,2014,2014-12-31,2992000000.0,,101000000.0,23024000000.0,2026-05-29
GOOGL,Alphabet,2015,2015-12-31,1995000000.0,,104000000.0,26572000000.0,2026-05-29
GOOGL,Alphabet,2016,2016-12-31,3935000000.0,,124000000.0,36036000000.0,2026-05-29
GOOGL,Alphabet,2017,2017-12-31,3943000000.0,,109000000.0,37091000000.0,2026-05-29
GOOGL,Alphabet,2018,2018-12-31,3950000000.0,,114000000.0,47971000000.0,2026-05-29
GOOGL,Alphabet,2019,2019-12-31,3958000000.0,,100000000.0,54520000000.0,2026-05-29
GOOGL,Alphabet,2020,2020-12-31,,,135000000.0,65124000000.0,2026-05-29
GOOGL,Alphabet,2021,2021-12-31,,,346000000.0,91652000000.0,2026-05-29
GOOGL,Alphabet,2022,2022-12-31,,,357000000.0,91495000000.0,2026-05-29
GOOGL,Alphabet,2023,2023-12-31,11870000000.0,,308000000.0,101746000000.0,2026-05-29
GOOGL,Alphabet,2024,2024-12-31,10883000000.0,,,125299000000.0,2026-05-29
GOOGL,Alphabet,2025,2025-12-31,46547000000.0,,,164713000000.0,2026-05-29
META,Meta Platforms,2010,2010-12-31,,,,698000000.0,2026-05-29
META,Meta Platforms,2011,2011-12-31,0.0,,,1549000000.0,2026-05-29
META,Meta Platforms,2012,2012-12-31,1500000000.0,,,1612000000.0,2026-05-29
META,Meta Platforms,2013,2013-12-31,0.0,,,4222000000.0,2026-05-29
META,Meta Platforms,2014,2014-12-31,,,,7326000000.0,2026-05-29
META,Meta Platforms,2015,2015-12-31,,,,10320000000.0,2026-05-29
META,Meta Platforms,2016,2016-12-31,,,,16108000000.0,2026-05-29
META,Meta Platforms,2017,2017-12-31,,,,24216000000.0,2026-05-29
META,Meta Platforms,2018,2018-12-31,,,,29274000000.0,2026-05-29
META,Meta Platforms,2019,2019-12-31,,,,36314000000.0,2026-05-29
META,Meta Platforms,2020,2020-12-31,,0.0,,38747000000.0,2026-05-29
META,Meta Platforms,2021,2021-12-31,0.0,0.0,,57683000000.0,2026-05-29
META,Meta Platforms,2022,2022-12-31,9923000000.0,9921000000.0,160000000.0,50475000000.0,2026-05-29
META,Meta Platforms,2023,2023-12-31,18385000000.0,8455000000.0,420000000.0,71113000000.0,2026-05-29
META,Meta Platforms,2024,2024-12-31,28826000000.0,10432000000.0,683000000.0,91328000000.0,2026-05-29
META,Meta Platforms,2025,2025-12-31,58744000000.0,29906000000.0,1090000000.0,115800000000.0,2026-05-29
MSFT,Microsoft,2008,2008-06-30,,,106000000.0,21612000000.0,2026-05-29
MSFT,Microsoft,2009,2009-06-30,3746000000.0,,38000000.0,19037000000.0,2026-05-29
MSFT,Microsoft,2010,2010-06-30,4939000000.0,,151000000.0,24073000000.0,2026-05-29
MSFT,Microsoft,2011,2011-06-30,11921000000.0,,295000000.0,26994000000.0,2026-05-29
MSFT,Microsoft,2012,2012-06-30,10713000000.0,,380000000.0,31626000000.0,2026-05-29
MSFT,Microsoft,2013,2013-06-30,12601000000.0,,429000000.0,28833000000.0,2026-05-29
MSFT,Microsoft,2014,2014-06-30,20645000000.0,,597000000.0,,2026-05-29
MSFT,Microsoft,2015,2015-06-30,27808000000.0,,781000000.0,,2026-05-29
MSFT,Microsoft,2016,2016-06-30,40557000000.0,,1243000000.0,33325000000.0,2026-05-29
MSFT,Microsoft,2017,2017-06-30,76073000000.0,,2222000000.0,39507000000.0,2026-05-29
MSFT,Microsoft,2018,2018-06-30,72242000000.0,,2733000000.0,43884000000.0,2026-05-29
MSFT,Microsoft,2019,2019-06-30,66662000000.0,,2686000000.0,52185000000.0,2026-05-29
MSFT,Microsoft,2020,2020-06-30,59578000000.0,,2591000000.0,60675000000.0,2026-05-29
