ticker,company,fiscal_year,period_end,depreciation_amort_usd,ppe_gross_usd,ppe_net_usd,retrieved
AMZN,Amazon,2008,2008-12-31,311000000.0,,854000000.0,2026-05-29
AMZN,Amazon,2009,2009-12-31,384000000.0,1915000000.0,1290000000.0,2026-05-29
AMZN,Amazon,2010,2010-12-31,552000000.0,3256000000.0,2414000000.0,2026-05-29
AMZN,Amazon,2011,2011-12-31,1034000000.0,5786000000.0,4417000000.0,2026-05-29
AMZN,Amazon,2012,2012-12-31,1653000000.0,9582000000.0,7060000000.0,2026-05-29
AMZN,Amazon,2013,2013-12-31,2460000000.0,14809000000.0,10949000000.0,2026-05-29
AMZN,Amazon,2014,2014-12-31,3616000000.0,22730000000.0,16967000000.0,2026-05-29
AMZN,Amazon,2015,2015-12-31,6281000000.0,30053000000.0,21838000000.0,2026-05-29
AMZN,Amazon,2016,2016-12-31,8116000000.0,42441000000.0,29114000000.0,2026-05-29
AMZN,Amazon,2017,2017-12-31,11478000000.0,72656000000.0,48866000000.0,2026-05-29
AMZN,Amazon,2018,2018-12-31,15341000000.0,95770000000.0,61797000000.0,2026-05-29
AMZN,Amazon,2019,2019-12-31,21789000000.0,119680000000.0,72705000000.0,2026-05-29
AMZN,Amazon,2020,2020-12-31,25180000000.0,,,2026-05-29
AMZN,Amazon,2021,2021-12-31,34433000000.0,,,2026-05-29
AMZN,Amazon,2022,2022-12-31,41921000000.0,,,2026-05-29
AMZN,Amazon,2023,2023-12-31,48663000000.0,,,2026-05-29
AMZN,Amazon,2024,2024-12-31,52795000000.0,394055000000.0,252665000000.0,2026-05-29
AMZN,Amazon,2025,2025-12-31,65756000000.0,534098000000.0,357025000000.0,2026-05-29
CRWV,CoreWeave,2023,2023-12-31,103000000.0,,,2026-05-29
CRWV,CoreWeave,2024,2024-12-31,863000000.0,12880000000.0,11915000000.0,2026-05-29
CRWV,CoreWeave,2025,2025-12-31,2454000000.0,33941000000.0,30557000000.0,2026-05-29
GOOGL,Alphabet,2014,2014-12-31,,32746000000.0,23883000000.0,2026-05-29
GOOGL,Alphabet,2015,2015-12-31,,40146000000.0,29016000000.0,2026-05-29
GOOGL,Alphabet,2016,2016-12-31,,47527000000.0,34234000000.0,2026-05-29
GOOGL,Alphabet,2017,2017-12-31,,59647000000.0,42383000000.0,2026-05-29
GOOGL,Alphabet,2018,2018-12-31,,82507000000.0,59719000000.0,2026-05-29
GOOGL,Alphabet,2019,2019-12-31,,104207000000.0,73646000000.0,2026-05-29
GOOGL,Alphabet,2020,2020-12-31,,126462000000.0,84749000000.0,2026-05-29
GOOGL,Alphabet,2021,2021-12-31,10273000000.0,147013000000.0,97599000000.0,2026-05-29
GOOGL,Alphabet,2022,2022-12-31,13475000000.0,171710000000.0,112668000000.0,2026-05-29
GOOGL,Alphabet,2023,2023-12-31,11946000000.0,166667000000.0,134345000000.0,2026-05-29
GOOGL,Alphabet,2024,2024-12-31,15311000000.0,199829000000.0,171036000000.0,2026-05-29
GOOGL,Alphabet,2025,2025-12-31,21136000000.0,,,2026-05-29
META,Meta Platforms,2010,2010-12-31,139000000.0,,,2026-05-29
META,Meta Platforms,2011,2011-12-31,323000000.0,1925000000.0,1475000000.0,2026-05-29
META,Meta Platforms,2012,2012-12-31,649000000.0,3273000000.0,2391000000.0,2026-05-29
META,Meta Platforms,2013,2013-12-31,1011000000.0,4142000000.0,2882000000.0,2026-05-29
META,Meta Platforms,2014,2014-12-31,1243000000.0,5784000000.0,3967000000.0,2026-05-29
META,Meta Platforms,2015,2015-12-31,1945000000.0,7819000000.0,5687000000.0,2026-05-29
META,Meta Platforms,2016,2016-12-31,2342000000.0,11803000000.0,8591000000.0,2026-05-29
