ticker,company,fiscal_year,period_end,share_based_comp_usd,buybacks_usd,equity_issuance_usd,operating_cash_flow_usd,capex_usd,retrieved
AMZN,Amazon,2007,2007-12-31,185000000.0,248000000.0,,1405000000.0,,2026-07-19
AMZN,Amazon,2008,2008-12-31,275000000.0,100000000.0,,1697000000.0,,2026-07-19
AMZN,Amazon,2009,2009-12-31,341000000.0,0.0,,3293000000.0,,2026-07-19
AMZN,Amazon,2010,2010-12-31,424000000.0,,,3495000000.0,,2026-07-19
AMZN,Amazon,2011,2011-12-31,557000000.0,277000000.0,,3903000000.0,,2026-07-19
AMZN,Amazon,2012,2012-12-31,833000000.0,960000000.0,,4180000000.0,,2026-07-19
AMZN,Amazon,2013,2013-12-31,1134000000.0,0.0,,5475000000.0,,2026-07-19
AMZN,Amazon,2014,2014-12-31,1497000000.0,0.0,,6842000000.0,,2026-07-19
AMZN,Amazon,2015,2015-12-31,2119000000.0,,,12039000000.0,,2026-07-19
AMZN,Amazon,2016,2016-12-31,2975000000.0,,,17203000000.0,7804000000.0,2026-07-19
AMZN,Amazon,2017,2017-12-31,4215000000.0,,,18365000000.0,11955000000.0,2026-07-19
AMZN,Amazon,2018,2018-12-31,5418000000.0,,,30723000000.0,13427000000.0,2026-07-19
AMZN,Amazon,2019,2019-12-31,6864000000.0,,,38514000000.0,16861000000.0,2026-07-19
AMZN,Amazon,2020,2020-12-31,9208000000.0,0.0,,66064000000.0,40140000000.0,2026-07-19
AMZN,Amazon,2021,2021-12-31,12757000000.0,0.0,,46327000000.0,61053000000.0,2026-07-19
AMZN,Amazon,2022,2022-12-31,19621000000.0,6000000000.0,,46752000000.0,63645000000.0,2026-07-19
AMZN,Amazon,2023,2023-12-31,24023000000.0,0.0,,84946000000.0,52729000000.0,2026-07-19
AMZN,Amazon,2024,2024-12-31,22011000000.0,0.0,,115877000000.0,82999000000.0,2026-07-19
AMZN,Amazon,2025,2025-12-31,19467000000.0,,,139514000000.0,131819000000.0,2026-07-19
CRWV,CoreWeave,2023,2023-12-31,15000000.0,,15000000.0,1833000000.0,2943000000.0,2026-07-19
CRWV,CoreWeave,2024,2024-12-31,31000000.0,,0.0,2749000000.0,8702000000.0,2026-07-19
CRWV,CoreWeave,2025,2025-12-31,630000000.0,,0.0,3058000000.0,10309000000.0,2026-07-19
GOOGL,Alphabet,2013,2013-12-31,3343000000.0,0.0,,18659000000.0,7358000000.0,2026-07-19
GOOGL,Alphabet,2014,2014-12-31,4279000000.0,0.0,,23024000000.0,11014000000.0,2026-07-19
GOOGL,Alphabet,2015,2015-12-31,5203000000.0,1780000000.0,,26572000000.0,9950000000.0,2026-07-19
GOOGL,Alphabet,2016,2016-12-31,6703000000.0,3693000000.0,,36036000000.0,10212000000.0,2026-07-19
GOOGL,Alphabet,2017,2017-12-31,7679000000.0,4846000000.0,,37091000000.0,13184000000.0,2026-07-19
GOOGL,Alphabet,2018,2018-12-31,9353000000.0,9075000000.0,,47971000000.0,25139000000.0,2026-07-19
GOOGL,Alphabet,2019,2019-12-31,10794000000.0,18396000000.0,,54520000000.0,23548000000.0,2026-07-19
GOOGL,Alphabet,2020,2020-12-31,12991000000.0,31149000000.0,,65124000000.0,22281000000.0,2026-07-19
