series_id,label,title,units,frequency,date,value,retrieved
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1947-01-01,1.709,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1947-04-01,1.664,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1947-07-01,1.77,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1947-10-01,1.749,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1948-01-01,1.831,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1948-04-01,1.759,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1948-07-01,1.738,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1948-10-01,1.909,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1949-01-01,1.809,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1949-04-01,1.634,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1949-07-01,1.544,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1949-10-01,1.525,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1950-01-01,1.607,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1950-04-01,1.822,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1950-07-01,1.878,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1950-10-01,2.056,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1951-01-01,1.979,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1951-04-01,2.106,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1951-07-01,2.251,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1951-10-01,2.261,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1952-01-01,2.399,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1952-04-01,2.641,2026-05-15
