series_id,label,group,title,units,frequency,date,value,retrieved
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-01-08,0.596,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-01-15,0.628,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-01-22,0.665,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-01-29,0.705,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-02-05,0.748,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-02-12,0.791,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-02-19,0.834,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-02-26,0.876,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-03-05,0.918,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-03-12,0.965,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-03-19,1.016,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-03-26,1.075,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-04-02,1.141,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-04-09,1.214,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-04-16,1.288,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-04-23,1.358,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-04-30,1.417,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-05-07,1.456,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-05-14,1.467,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-05-21,1.446,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-05-28,1.393,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1971-06-04,1.314,2026-05-29
