soc_code,occupation,total_employment,median_annual_wage,retrieved
11-1011,Chief Executives,211850,206420.0,2026-05-15
11-1021,General and Operations Managers,3584420,102950.0,2026-05-15
11-1031,Legislators,26510,44810.0,2026-05-15
11-2011,Advertising and Promotions Managers,21100,126960.0,2026-05-15
11-2021,Marketing Managers,384980,161030.0,2026-05-15
11-2022,Sales Managers,603710,138060.0,2026-05-15
11-2032,Public Relations Managers,76060,138520.0,2026-05-15
11-2033,Fundraising Managers,36920,123480.0,2026-05-15
11-3012,Administrative Services Managers,254140,108390.0,2026-05-15
11-3013,Facilities Managers,141090,104690.0,2026-05-15
11-3021,Computer and Information Systems Managers,645970,171200.0,2026-05-15
11-3031,Financial Managers,818620,161700.0,2026-05-15
11-3051,Industrial Production Managers,234380,121440.0,2026-05-15
11-3061,Purchasing Managers,81240,139510.0,2026-05-15
11-3071,"Transportation, Storage, and Distribution Managers",213000,102010.0,2026-05-15
11-3111,Compensation and Benefits Managers,20070,140360.0,2026-05-15
11-3121,Human Resources Managers,215520,140030.0,2026-05-15
11-3131,Training and Development Managers,44960,127090.0,2026-05-15
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5910,87980.0,2026-05-15
11-9021,Construction Managers,348330,106980.0,2026-05-15
11-9031,"Education and Childcare Administrators, Preschool and Daycare",71620,56270.0,2026-05-15
11-9032,"Education Administrators, Kindergarten through Secondary",319630,104070.0,2026-05-15
11-9033,"Education Administrators, Postsecondary",176420,103960.0,2026-05-15
11-9039,"Education Administrators, All Other",53330,89040.0,2026-05-15
11-9041,Architectural and Engineering Managers,210340,167740.0,2026-05-15
11-9051,Food Service Managers,244230,65310.0,2026-05-15
11-9071,Gambling Managers,4620,85580.0,2026-05-15
11-9072,"Entertainment and Recreation Managers, Except Gambling",36700,77180.0,2026-05-15
11-9081,Lodging Managers,41350,68130.0,2026-05-15
11-9111,Medical and Health Services Managers,565840,117960.0,2026-05-15
11-9121,Natural Sciences Managers,100870,161180.0,2026-05-15
11-9131,Postmasters and Mail Superintendents,13810,92730.0,2026-05-15
11-9141,"Property, Real Estate, and Community Association Managers",296640,66700.0,2026-05-15
11-9151,Social and Community Service Managers,195490,78240.0,2026-05-15
11-9161,Emergency Management Directors,12570,86130.0,2026-05-15
11-9171,Funeral Home Managers,13120,76830.0,2026-05-15
11-9179,"Personal Service Managers, All Other",10490,61340.0,2026-05-15
11-9199,"Managers, All Other",630980,136550.0,2026-05-15
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",14220,96310.0,2026-05-15
13-1020,Buyers and Purchasing Agents,486900,75650.0,2026-05-15
13-1031,"Claims Adjusters, Examiners, and Investigators",305020,76790.0,2026-05-15
13-1032,"Insurance Appraisers, Auto Damage",7790,76650.0,2026-05-15
13-1041,Compliance Officers,397770,78420.0,2026-05-15
13-1051,Cost Estimators,219530,77070.0,2026-05-15
13-1071,Human Resources Specialists,917460,72910.0,2026-05-15
13-1074,Farm Labor Contractors,410,48690.0,2026-05-15
13-1075,Labor Relations Specialists,64590,93500.0,2026-05-15
13-1081,Logisticians,235640,80880.0,2026-05-15
13-1082,Project Management Specialists,1006160,100750.0,2026-05-15
13-1111,Management Analysts,893900,101190.0,2026-05-15
13-1121,"Meeting, Convention, and Event Planners",134670,59440.0,2026-05-15
13-1131,Fundraisers,105930,66490.0,2026-05-15
13-1141,"Compensation, Benefits, and Job Analysis Specialists",102370,77020.0,2026-05-15
13-1151,Training and Development Specialists,436610,65850.0,2026-05-15
13-1161,Market Research Analysts and Marketing Specialists,861140,76950.0,2026-05-15
13-1199,"Business Operations Specialists, All Other",1128200,81270.0,2026-05-15
13-2011,Accountants and Auditors,1448290,81680.0,2026-05-15
13-2020,Property Appraisers and Assessors,59070,65420.0,2026-05-15
13-2031,Budget Analysts,47170,87930.0,2026-05-15
13-2041,Credit Analysts,67370,80970.0,2026-05-15
13-2051,Financial and Investment Analysts,340580,101350.0,2026-05-15
13-2052,Personal Financial Advisors,270480,102140.0,2026-05-15
