ticker,company,fiscal_year,period_start,period_end,revenue_usd,revenue_concept,form,accession,filed,retrieved
AMD,AMD,2016,2015-12-27,2016-12-31,4319000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-19-000011,2019-02-08,2026-05-15
AMD,AMD,2017,2017-01-01,2017-12-30,5253000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-20-000008,2020-02-04,2026-05-15
AMD,AMD,2018,2017-12-31,2018-12-29,6475000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001628280-21-001185,2021-01-29,2026-05-15
AMD,AMD,2019,2018-12-30,2019-12-28,6731000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-22-000016,2022-02-03,2026-05-15
AMD,AMD,2020,2019-12-29,2020-12-26,9763000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-23-000047,2023-02-27,2026-05-15
AMD,AMD,2021,2020-12-27,2021-12-25,16434000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-24-000012,2024-01-31,2026-05-15
AMD,AMD,2022,2021-12-26,2022-12-31,23601000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-25-000012,2025-02-05,2026-05-15
AMD,AMD,2023,2023-01-01,2023-12-30,22680000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-26-000018,2026-02-04,2026-05-15
AMD,AMD,2024,2023-12-31,2024-12-28,25785000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-26-000018,2026-02-04,2026-05-15
AMD,AMD,2025,2024-12-29,2025-12-27,34639000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-26-000018,2026-02-04,2026-05-15
AVGO,Broadcom,2017,2016-10-31,2017-10-29,17636000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-19-000144,2019-12-20,2026-05-15
AVGO,Broadcom,2018,2017-10-30,2018-11-04,20848000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-20-000226,2020-12-18,2026-05-15
AVGO,Broadcom,2019,2018-11-05,2019-11-03,22597000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-21-000153,2021-12-17,2026-05-15
AVGO,Broadcom,2020,2019-11-04,2020-11-01,23888000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-22-000118,2022-12-16,2026-05-15
AVGO,Broadcom,2021,2020-11-02,2021-10-31,27450000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-23-000096,2023-12-14,2026-05-15
AVGO,Broadcom,2022,2021-11-01,2022-10-30,33203000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-24-000139,2024-12-20,2026-05-15
AVGO,Broadcom,2023,2022-10-31,2023-10-29,35819000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-25-000121,2025-12-18,2026-05-15
AVGO,Broadcom,2024,2023-10-30,2024-11-03,51574000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-25-000121,2025-12-18,2026-05-15
AVGO,Broadcom,2025,2024-11-04,2025-11-02,63887000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-25-000121,2025-12-18,2026-05-15
INTC,Intel,2016,2015-12-27,2016-12-31,59387000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-19-000007,2019-02-01,2026-05-15
INTC,Intel,2017,2017-01-01,2017-12-30,62761000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-20-000011,2020-01-24,2026-05-15
INTC,Intel,2018,2017-12-31,2018-12-29,70848000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-21-000010,2021-01-22,2026-05-15
INTC,Intel,2019,2018-12-30,2019-12-28,71965000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-22-000007,2022-01-27,2026-05-15
INTC,Intel,2020,2019-12-29,2020-12-26,77867000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-23-000006,2023-01-27,2026-05-15
INTC,Intel,2021,2020-12-27,2021-12-25,79024000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-24-000010,2024-01-26,2026-05-15
INTC,Intel,2022,2021-12-26,2022-12-31,63054000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-25-000009,2025-01-31,2026-05-15
