year,stateid,state_name,sector,sales_twh,price_cents_per_kwh,retrieved
2001,AK,Alaska,all sectors,5.45408,10.54,2026-05-15
2002,AK,Alaska,all sectors,5.465489,10.46,2026-05-15
2003,AK,Alaska,all sectors,5.563682,10.5,2026-05-15
2004,AK,Alaska,all sectors,5.788484,10.99,2026-05-15
2005,AK,Alaska,all sectors,5.912571,11.72,2026-05-15
2006,AK,Alaska,all sectors,6.182291,12.84,2026-05-15
2007,AK,Alaska,all sectors,6.32661,13.28,2026-05-15
2008,AK,Alaska,all sectors,6.32594399,14.74,2026-05-15
2009,AK,Alaska,all sectors,6.27017098,15.09,2026-05-15
2010,AK,Alaska,all sectors,6.24703802,14.76,2026-05-15
2011,AK,Alaska,all sectors,6.31953995,16.08,2026-05-15
2012,AK,Alaska,all sectors,6.416410979999999,16.33,2026-05-15
2013,AK,Alaska,all sectors,6.268212,16.49,2026-05-15
2014,AK,Alaska,all sectors,6.1648119999999995,17.46,2026-05-15
2015,AK,Alaska,all sectors,6.159204,17.59,2026-05-15
2016,AK,Alaska,all sectors,6.12320202,17.93,2026-05-15
2017,AK,Alaska,all sectors,6.185799,19.1,2026-05-15
2018,AK,Alaska,all sectors,5.97246698,19.36,2026-05-15
2019,AK,Alaska,all sectors,5.81880503,20.22,2026-05-15
2020,AK,Alaska,all sectors,5.91757699,19.82,2026-05-15
2021,AK,Alaska,all sectors,5.969339,20.02,2026-05-15
2022,AK,Alaska,all sectors,6.00208,20.73,2026-05-15
2023,AK,Alaska,all sectors,6.02459801,21.41,2026-05-15
2024,AK,Alaska,all sectors,6.0465029800000005,22.17,2026-05-15
2025,AK,Alaska,all sectors,6.118426400000001,23.05,2026-05-15
2001,AK,Alaska,residential,1.8914680000000001,12.12,2026-05-15
2002,AK,Alaska,residential,1.932217,12.05,2026-05-15
2003,AK,Alaska,residential,1.987009,11.98,2026-05-15
2004,AK,Alaska,residential,2.0619050000000003,12.44,2026-05-15
2005,AK,Alaska,residential,2.061652,13.3,2026-05-15
2006,AK,Alaska,residential,2.120254,14.83,2026-05-15
2007,AK,Alaska,residential,2.114456,15.18,2026-05-15
2008,AK,Alaska,residential,2.1298109899999997,16.56,2026-05-15
2009,AK,Alaska,residential,2.11739299,17.14,2026-05-15
2010,AK,Alaska,residential,2.09321701,16.26,2026-05-15
2011,AK,Alaska,residential,2.13442196,17.62,2026-05-15
2012,AK,Alaska,residential,2.16019598,17.88,2026-05-15
2013,AK,Alaska,residential,2.10396601,18.12,2026-05-15
2014,AK,Alaska,residential,2.04361399,19.14,2026-05-15
2015,AK,Alaska,residential,2.04418401,19.83,2026-05-15
2016,AK,Alaska,residential,2.00639202,20.3,2026-05-15
2017,AK,Alaska,residential,2.06034901,21.27,2026-05-15
2018,AK,Alaska,residential,1.97490599,21.94,2026-05-15
2019,AK,Alaska,residential,1.92820802,22.92,2026-05-15
2020,AK,Alaska,residential,2.08904601,22.57,2026-05-15
2021,AK,Alaska,residential,2.08391101,22.55,2026-05-15
2022,AK,Alaska,residential,2.050472,23.1,2026-05-15
2023,AK,Alaska,residential,2.050667,23.9,2026-05-15
2024,AK,Alaska,residential,2.07059399,24.82,2026-05-15
2025,AK,Alaska,residential,2.0490030900000002,26.09,2026-05-15
2001,AL,Alabama,all sectors,79.358258,5.6,2026-05-15
2002,AL,Alabama,all sectors,83.067078,5.71,2026-05-15
2003,AL,Alabama,all sectors,83.84422,5.88,2026-05-15
2004,AL,Alabama,all sectors,86.870519,6.08,2026-05-15
2005,AL,Alabama,all sectors,89.20161999999999,6.46,2026-05-15
2006,AL,Alabama,all sectors,90.677695,7.07,2026-05-15
2007,AL,Alabama,all sectors,91.82846400000001,7.57,2026-05-15
2008,AL,Alabama,all sectors,89.70727901,8.59,2026-05-15
2009,AL,Alabama,all sectors,82.84460198000001,8.83,2026-05-15
2010,AL,Alabama,all sectors,90.862645,8.89,2026-05-15
2011,AL,Alabama,all sectors,88.99536899,9.1,2026-05-15
2012,AL,Alabama,all sectors,86.18254801,9.18,2026-05-15
2013,AL,Alabama,all sectors,87.85210701999999,9.02,2026-05-15
2014,AL,Alabama,all sectors,90.49372702000001,9.27,2026-05-15
2015,AL,Alabama,all sectors,88.845543,9.33,2026-05-15
2016,AL,Alabama,all sectors,88.22514100000001,9.56,2026-05-15
2017,AL,Alabama,all sectors,86.24173001,9.83,2026-05-15
2018,AL,Alabama,all sectors,90.280456,9.63,2026-05-15
2019,AL,Alabama,all sectors,88.09511201,9.83,2026-05-15
2020,AL,Alabama,all sectors,83.39560502,9.84,2026-05-15
2021,AL,Alabama,all sectors,85.585166,10.18,2026-05-15
2022,AL,Alabama,all sectors,87.02754499,11.59,2026-05-15
2023,AL,Alabama,all sectors,84.88035898999999,11.47,2026-05-15
2024,AL,Alabama,all sectors,87.52293201,11.9,2026-05-15
2025,AL,Alabama,all sectors,89.22126994,12.62,2026-05-15
2001,AL,Alabama,residential,27.802207,7.01,2026-05-15
2002,AL,Alabama,residential,30.021763,7.12,2026-05-15
2003,AL,Alabama,residential,29.416418,7.39,2026-05-15
2004,AL,Alabama,residential,30.109115000000003,7.62,2026-05-15
2005,AL,Alabama,residential,31.315099999999997,8.0,2026-05-15
2006,AL,Alabama,residential,32.277083,8.75,2026-05-15
2007,AL,Alabama,residential,32.783444,9.32,2026-05-15
2008,AL,Alabama,residential,32.18454,10.4,2026-05-15
2009,AL,Alabama,residential,31.489411,10.66,2026-05-15
2010,AL,Alabama,residential,35.529292,10.67,2026-05-15
2011,AL,Alabama,residential,33.00281499,11.09,2026-05-15
2012,AL,Alabama,residential,30.63226102,11.4,2026-05-15
2013,AL,Alabama,residential,31.37865902,11.26,2026-05-15
2014,AL,Alabama,residential,32.929598,11.48,2026-05-15
2015,AL,Alabama,residential,31.90853,11.7,2026-05-15
2016,AL,Alabama,residential,32.05554599,11.99,2026-05-15
2017,AL,Alabama,residential,30.181045020000003,12.55,2026-05-15
2018,AL,Alabama,residential,33.08038001,12.18,2026-05-15
2019,AL,Alabama,residential,32.415646,12.53,2026-05-15
2020,AL,Alabama,residential,31.33104101,12.57,2026-05-15
2021,AL,Alabama,residential,31.585153,12.96,2026-05-15
2022,AL,Alabama,residential,32.923572990000004,14.25,2026-05-15
2023,AL,Alabama,residential,31.409651999999998,14.63,2026-05-15
2024,AL,Alabama,residential,32.89907101,15.18,2026-05-15
2025,AL,Alabama,residential,33.478534010000004,16.1,2026-05-15
2001,AR,Arkansas,all sectors,41.732449,6.05,2026-05-15
2002,AR,Arkansas,all sectors,42.449557999999996,5.61,2026-05-15
2003,AR,Arkansas,all sectors,43.108259,5.57,2026-05-15
2004,AR,Arkansas,all sectors,43.67236,5.67,2026-05-15
2005,AR,Arkansas,all sectors,46.164923,6.3,2026-05-15
2006,AR,Arkansas,all sectors,46.635624,6.99,2026-05-15
2007,AR,Arkansas,all sectors,47.054891000000005,6.96,2026-05-15
2008,AR,Arkansas,all sectors,46.13468101,7.6,2026-05-15
2009,AR,Arkansas,all sectors,43.17310399,7.57,2026-05-15
2010,AR,Arkansas,all sectors,48.194285,7.28,2026-05-15
2011,AR,Arkansas,all sectors,47.927828999999996,7.43,2026-05-15
2012,AR,Arkansas,all sectors,46.859566980000004,7.62,2026-05-15
2013,AR,Arkansas,all sectors,46.683034,7.93,2026-05-15
2014,AR,Arkansas,all sectors,47.08030101,7.9,2026-05-15
2015,AR,Arkansas,all sectors,46.46515402,8.19,2026-05-15
2016,AR,Arkansas,all sectors,46.188438000000005,8.13,2026-05-15
2017,AR,Arkansas,all sectors,46.085951009999995,8.26,2026-05-15
2018,AR,Arkansas,all sectors,49.60270798,7.78,2026-05-15
2019,AR,Arkansas,all sectors,48.09303199,8.22,2026-05-15
2020,AR,Arkansas,all sectors,45.85100301,8.32,2026-05-15
2021,AR,Arkansas,all sectors,48.66314201,9.1,2026-05-15
2022,AR,Arkansas,all sectors,48.997662989999995,9.91,2026-05-15
2023,AR,Arkansas,all sectors,48.64929999,9.73,2026-05-15
2024,AR,Arkansas,all sectors,49.89581201,9.59,2026-05-15
2025,AR,Arkansas,all sectors,52.962927369999996,9.84,2026-05-15
2001,AR,Arkansas,residential,15.103946,7.72,2026-05-15
2002,AR,Arkansas,residential,15.527374,7.25,2026-05-15
2003,AR,Arkansas,residential,15.598301,7.24,2026-05-15
2004,AR,Arkansas,residential,15.619397000000001,7.36,2026-05-15
2005,AR,Arkansas,residential,17.133693,8.0,2026-05-15
2006,AR,Arkansas,residential,17.065081,8.85,2026-05-15
2007,AR,Arkansas,residential,17.414562,8.73,2026-05-15
2008,AR,Arkansas,residential,17.392467,9.27,2026-05-15
2009,AR,Arkansas,residential,16.985526,9.14,2026-05-15
2010,AR,Arkansas,residential,19.230961,8.86,2026-05-15
2011,AR,Arkansas,residential,18.787349,9.02,2026-05-15
2012,AR,Arkansas,residential,17.90930099,9.3,2026-05-15
2013,AR,Arkansas,residential,18.219287,9.59,2026-05-15
2014,AR,Arkansas,residential,18.441119009999998,9.51,2026-05-15
2015,AR,Arkansas,residential,18.273388999999998,9.82,2026-05-15
2016,AR,Arkansas,residential,17.78423301,9.92,2026-05-15
2017,AR,Arkansas,residential,17.026778999999998,10.28,2026-05-15
2018,AR,Arkansas,residential,19.259203990000003,9.81,2026-05-15
2019,AR,Arkansas,residential,18.73231599,9.8,2026-05-15
2020,AR,Arkansas,residential,17.980206010000003,10.41,2026-05-15
2021,AR,Arkansas,residential,18.918015,11.27,2026-05-15
2022,AR,Arkansas,residential,19.250661009999998,12.05,2026-05-15
2023,AR,Arkansas,residential,18.37397099,12.25,2026-05-15
2024,AR,Arkansas,residential,18.580638009999998,12.32,2026-05-15
2025,AR,Arkansas,residential,19.22798477,12.84,2026-05-15
2001,AZ,Arizona,all sectors,62.274303999999994,7.27,2026-05-15
2002,AZ,Arizona,all sectors,62.600737,7.21,2026-05-15
2003,AZ,Arizona,all sectors,64.07956,7.34,2026-05-15
2004,AZ,Arizona,all sectors,66.933251,7.45,2026-05-15
2005,AZ,Arizona,all sectors,69.390686,7.79,2026-05-15
2006,AZ,Arizona,all sectors,73.252776,8.24,2026-05-15
2007,AZ,Arizona,all sectors,77.193206,8.54,2026-05-15
2008,AZ,Arizona,all sectors,76.26791602,9.11,2026-05-15
2009,AZ,Arizona,all sectors,73.43292901000001,9.56,2026-05-15
2010,AZ,Arizona,all sectors,72.83303,9.69,2026-05-15
2011,AZ,Arizona,all sectors,74.943645,9.71,2026-05-15
2012,AZ,Arizona,all sectors,75.06334299999999,9.81,2026-05-15
2013,AZ,Arizona,all sectors,75.66203702,10.14,2026-05-15
2014,AZ,Arizona,all sectors,76.29768499,10.18,2026-05-15
2015,AZ,Arizona,all sectors,77.34941596,10.34,2026-05-15
2016,AZ,Arizona,all sectors,78.23782802,10.33,2026-05-15
2017,AZ,Arizona,all sectors,77.64626201,10.64,2026-05-15
2018,AZ,Arizona,all sectors,78.34630199,10.85,2026-05-15
2019,AZ,Arizona,all sectors,77.92917002,10.52,2026-05-15
2020,AZ,Arizona,all sectors,81.96007401,10.44,2026-05-15
2021,AZ,Arizona,all sectors,81.21999000000001,10.73,2026-05-15
2022,AZ,Arizona,all sectors,84.19651702,11.31,2026-05-15
2023,AZ,Arizona,all sectors,85.91879798000001,12.19,2026-05-15
2024,AZ,Arizona,all sectors,90.84328799,12.74,2026-05-15
2025,AZ,Arizona,all sectors,91.55233195000001,12.97,2026-05-15
2001,AZ,Arizona,residential,26.200172,8.3,2026-05-15
2002,AZ,Arizona,residential,26.412614,8.27,2026-05-15
2003,AZ,Arizona,residential,27.74152,8.35,2026-05-15
2004,AZ,Arizona,residential,28.920651000000003,8.46,2026-05-15
2005,AZ,Arizona,residential,30.543645,8.86,2026-05-15
2006,AZ,Arizona,residential,32.367475,9.4,2026-05-15
2007,AZ,Arizona,residential,34.436657,9.66,2026-05-15
2008,AZ,Arizona,residential,33.23637,10.27,2026-05-15
2009,AZ,Arizona,residential,32.846843,10.73,2026-05-15
2010,AZ,Arizona,residential,32.44813799,10.97,2026-05-15
2011,AZ,Arizona,residential,33.079074,11.08,2026-05-15
2012,AZ,Arizona,residential,32.92297001,11.29,2026-05-15
2013,AZ,Arizona,residential,33.10360201,11.71,2026-05-15
2014,AZ,Arizona,residential,32.34607899,11.9,2026-05-15
2015,AZ,Arizona,residential,33.167205,12.13,2026-05-15
2016,AZ,Arizona,residential,33.69078301,12.15,2026-05-15
2017,AZ,Arizona,residential,34.25122,12.44,2026-05-15
2018,AZ,Arizona,residential,34.660297,12.77,2026-05-15
2019,AZ,Arizona,residential,34.72005001,12.43,2026-05-15
