# Shiller CAPE (cyclically-adjusted P/E, "CAPE 10") for the S&P 500.
# MANUAL, Tier-2/approximate. Hand-keyed APPROXIMATE year-end values from Robert
# Shiller's online dataset (http://www.econ.yale.edu/~shiller/data.htm, "ie_data");
# the current value is an approximate recent reading. CAPE = real price / 10-yr
# average of real earnings. It is a REAL earnings multiple, so 1/CAPE is a REAL
# (cyclically-adjusted) earnings yield, comparable to the TIPS real 10y yield.
# Treat the REGIME (CAPE in the high-30s, near dot-com-era extremes) as the
# finding, not the second digit. To refresh, read the latest from Shiller's file.
year,cape,note
2000,43.8,dot-com peak (all-time high ~44)
2007,27.0,pre-GFC
2009,20.5,post-crash trough region
2012,21.0,
2015,26.0,
2017,32.5,
2018,27.5,late-2018 drawdown
2019,30.0,
2020,33.0,
2021,38.3,post-pandemic high
2022,28.3,rate-shock drawdown
2023,31.0,
2024,37.5,
2025,38.5,
2026,38.5,current approximate reading
