section,metric,value,life_years,margin,required_op_profit_bn,required_revenue_bn,year,scenario,revenue_bn,retrieved
wacc,rf,0.0448,,,,,,,,2026-05-30
wacc,cost_of_debt_aftertax,0.0412,,,,,,,,2026-05-30
wacc,cost_of_equity,0.1098,,,,,,,,2026-05-30
wacc,wacc,0.0995,,,,,,,,2026-05-30
capital,K_low_bn,3475.0,,,,,,,,2026-05-30
capital,K_mid_bn,5280.0,,,,,,,,2026-05-30
capital,K_high_bn,7436.0,,,,,,,,2026-05-30
achievable,R0_2026_bn,80.0,,,,,,,,2026-05-30
comparable,aws_cagr,0.364,,,,,,,,2026-05-30
comparable,required_cagr_to_2030,1.564,,,,,,,,2026-05-30
required,,,3.0,0.15,2121.0,14142.0,,,,2026-05-30
required,,,3.0,0.25,2121.0,8485.0,,,,2026-05-30
required,,,3.0,0.35,2121.0,6061.0,,,,2026-05-30
required,,,6.0,0.15,1211.0,8071.0,,,,2026-05-30
required,,,6.0,0.25,1211.0,4842.0,,,,2026-05-30
required,,,6.0,0.35,1211.0,3459.0,,,,2026-05-30
achievable_path,,,,,,,2026.0,low,80.0,2026-05-30
achievable_path,,,,,,,2027.0,low,144.0,2026-05-30
achievable_path,,,,,,,2028.0,low,201.6,2026-05-30
achievable_path,,,,,,,2029.0,low,252.0,2026-05-30
achievable_path,,,,,,,2030.0,low,289.79999999999995,2026-05-30
achievable_path,,,,,,,2026.0,mid,80.0,2026-05-30
achievable_path,,,,,,,2027.0,mid,200.0,2026-05-30
achievable_path,,,,,,,2028.0,mid,360.0,2026-05-30
achievable_path,,,,,,,2029.0,mid,540.0,2026-05-30
achievable_path,,,,,,,2030.0,mid,729.0,2026-05-30
achievable_path,,,,,,,2026.0,high,80.0,2026-05-30
achievable_path,,,,,,,2027.0,high,256.0,2026-05-30
achievable_path,,,,,,,2028.0,high,563.2,2026-05-30
achievable_path,,,,,,,2029.0,high,957.44,2026-05-30
achievable_path,,,,,,,2030.0,high,1436.16,2026-05-30
